raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000050	.••	1	.••	.••	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	0	1	0	0	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	1	1	1	1	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	1)	1	1)	1)	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	1.	1	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	1113'anda	1	1113'anda	1113'anda	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	1113.	1	1113.	1113.	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	14	2	14	14	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	1651	1	1651	1651	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	1651'e	1	1651'e	1651'e	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	1684'e.	1	1684'e.	1684'e.	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	1684'tür.	1	1684'tür.	1684'tür.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	1690	1	1690	1690	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	1690'1	1	1690'1	1690'1	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	1695	1	1695	1695	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	1695'an	1	1695'an	1695'an	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	1919	1	1919	1919	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	1919'wan	1	1919'wan	1919'wan	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	1958	1	1958	1958	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000070	1958'an	1	1958'an	1958'an	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000071	1962	1	1962	1962	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000072	1962'wan	1	1962'wan	1962'wan	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000073	1968	2	1968	1968	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000074	1968)	1	1968)	1968)	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000075	1\IE	1	1\IE	1\ie	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000076	1ptal	1	1ptal	1ptal	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000077	2	1	2	2	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000078	20/10/1968	2	20/10/1968	20/10/1968	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000079	22	1	22	22	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000080	3	2	3	3	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000081	3)	1	3)	3)	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000082	3.ş»kları	1	3.ş»kları	3.ş»kları	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000083	4	1	4	4	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000084	5ahı	1	5ahı	5ahı	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000085	6	1	6	6	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000086	68'an,	1	68'an,	68'an,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000087	68.	1	68.	68.	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000088	73	1	73	73	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000089	91	1	91	91	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000090	:	8	:	:	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000091	:Sen	1	:Sen	:sen	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000092	:zünde	1	:zünde	:zünde	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000093	;	1	;	;	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000094	<...r-ic::J	1	<...r-ic::J	<...r-ic::j	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000095	<<Meme	1	<<Meme	<<meme	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000096	<<Tu	1	<<Tu	<<tu	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000097	?	3	?	?	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000098	\q	1	\q	\q	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000099	\̱	1	\̱	\̱	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000100	_yüzünde	1	_yüzünde	_yüzünde	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000101	A	1	A	a	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000102	a	4	a	a	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000103	A,	1	A,	a,	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000104	Abidlerin	1	Abidlerin	abidlerin	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000105	Abıd	1	Abıd	abıd	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000106	Acaba	2	Acaba	acaba	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000107	Acem	1	Acem	acem	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000108	acep	1	acep	acep	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000109	acır,	1	acır,	acır,	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000110	addır	1	addır	addır	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000111	ade	1	ade	ade	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000112	Adem	9	Adem	adem	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000113	adem	2	adem	adem	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000114	Adem'i	1	Adem'i	adem'i	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000115	Adem'in	1	Adem'in	adem'in	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000116	ademi-yfı	1	ademi-yfı	ademi-yfı	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000117	ademine	1	ademine	ademine	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000118	adeta	2	adeta	adeta	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000119	adlı	1	adlı	adlı	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000120	adı	5	adı	adı	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000121	adıdır,	1	adıdır,	adıdır,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000122	adın	2	adın	adın	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000123	adında	2	adında	adında	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000124	adından	1	adından	adından	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000125	adındır	2	adındır	adındır	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000126	adındır,	1	adındır,	adındır,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000127	adındır.	1	adındır.	adındır.	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000128	adınla	1	adınla	adınla	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000129	adını	1	adını	adını	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000130	adıyla	1	adıyla	adıyla	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000131	AF	1	AF	af	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000132	aferand.»	1	aferand.»	aferand.»	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000133	aferandiye,	1	aferandiye,	aferandiye,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000134	agah	1	agah	agah	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000135	agire	1	agire	agire	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000136	agır	1	agır	agır	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000137	agıre	2	agıre	agıre	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000138	Agıre:	1	Agıre:	agıre:	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000139	aha!	1	aha!	aha!	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000140	ahi	1	ahi	ahi	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000141	Ahmed'dir»	1	Ahmed'dir»	ahmed'dir»	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000142	Ahmed-i	2	Ahmed-i	ahmed-i	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000143	Ak	1	Ak	ak	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000144	aklıevvel,	1	aklıevvel,	aklıevvel,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000145	AL	1	AL	al	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000146	al	1	al	al	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000147	Alan>>	1	Alan>>	alan>>	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000148	alanda	1	alanda	alanda	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000149	Alan»	3	Alan»	alan»	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000150	alanında	2	alanında	alanında	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000151	alarak	1	alarak	alarak	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000152	alem	4	alem	alem	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000153	alema	1	alema	alema	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000154	alemden	1	alemden	alemden	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000155	alemi	1	alemi	alemi	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000156	alemin	2	alemin	alemin	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000157	aleminbu	1	aleminbu	aleminbu	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000158	alemine	1	alemine	alemine	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000159	alemler	1	alemler	alemler	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000160	Ali	1	Ali	ali	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000161	ali	9	ali	ali	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000162	alikariya	2	alikariya	alikariya	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000163	Alimul-xeyb	1	Alimul-xeyb	alimul-xeyb	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000164	Allah	6	Allah	allah	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000165	Allah!	7	Allah!	allah!	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000166	Allah!.	1	Allah!.	allah!.	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000167	ALLAHA	2	ALLAHA	allaha	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000168	Allaha	1	Allaha	allaha	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000169	Allahla.	1	Allahla.	allahla.	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000170	ALLAHTAN	1	ALLAHTAN	allahtan	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000171	Allahtır	1	Allahtır	allahtır	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000172	Allahım!	2	Allahım!	allahım!	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000173	Allahın	7	Allahın	allahın	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000174	almak	1	almak	almak	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000175	Almanca'ya	1	Almanca'ya	almanca'ya	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000176	almış,	1	almış,	almış,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000177	almıştır.	1	almıştır.	almıştır.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000178	altı	1	altı	altı	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000179	Altın	1	Altın	altın	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000180	altın	1	altın	altın	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000181	altındadır.	1	altındadır.	altındadır.	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000182	Alım	1	Alım	alım	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000183	alır	1	alır	alır	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000184	am	1	am	am	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000185	Ama	2	Ama	ama	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000186	ama	3	ama	ama	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000187	Amaca	1	Amaca	amaca	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000188	amacı	2	amacı	amacı	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000189	amacımız,	1	amacımız,	amacımız,	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000190	amacıyle	1	amacıyle	amacıyle	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000191	aman	1	aman	aman	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000192	Amanca	1	Amanca	amanca	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000193	Amaç	2	Amaç	amaç	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000194	amaç	2	amaç	amaç	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000195	an	4	an	an	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000196	an!ye	1	an!ye	an!ye	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000197	an,	1	an,	an,	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000198	Ana	1	Ana	ana	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000199	ana	1	ana	ana	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000200	anahtarları,	1	anahtarları,	anahtarları,	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000201	ancak	1	ancak	ancak	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000202	Ancaξ	1	Ancaξ	ancaξ	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000203	andiçti.	1	andiçti.	andiçti.	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000204	andolsun	2	andolsun	andolsun	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000205	ane	1	ane	ane	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000206	ani.	1	ani.	ani.	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000207	aniye	3	aniye	aniye	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000208	anlamdaki	1	anlamdaki	anlamdaki	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000209	anlamı	3	anlamı	anlamı	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000210	anlamında	1	anlamında	anlamında	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000211	anlamındaki	2	anlamındaki	anlamındaki	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000212	anlamından,	1	anlamından,	anlamından,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000213	anlamını	1	anlamını	anlamını	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000214	anlar,	1	anlar,	anlar,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000215	anlatmış	1	anlatmış	anlatmış	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000216	anlat­	1	anlat­	anlat­	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000217	anlayan	1	anlayan	anlayan	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000218	anlayışı	2	anlayışı	anlayışı	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000219	anlayışını,	1	anlayışını,	anlayışını,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000220	anlaşılaca­	1	anlaşılaca­	anlaşılaca­	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000221	anlaşılacağı	2	anlaşılacağı	anlaşılacağı	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000222	anlaşılıyor	1	anlaşılıyor	anlaşılıyor	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000223	anlık	1	anlık	anlık	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000224	anmıyorsa	1	anmıyorsa	anmıyorsa	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000225	Ansiklopedilerinde	1	Ansiklopedilerinde	ansiklopedilerinde	18	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000226	ansiklopediyen	1	ansiklopediyen	ansiklopediyen	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000227	ANSİKLOPEDİSİ'nin	1	ANSİKLOPEDİSİ'nin	ansi̇klopedi̇si̇'nin	17	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000228	ANSİKLOPEDİY	1	ANSİKLOPEDİY	ansi̇klopedi̇y	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000229	anınası	1	anınası	anınası	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000230	Ap.	1	Ap.	ap.	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000231	aqle	1	aqle	aqle	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000232	ar	1	ar	ar	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000233	ara	1	ara	ara	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000234	arada	1	arada	arada	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000235	Aran	1	Aran	aran	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
